COUNTRY,FLAG,CHARITY_CODE,SERIAL_NO,CHARITY_TRANS_ID,PAID_AMOUNT,DATE_PAYMENT,REQUESTED_AMOUNT,AUTHORIZATION_INDICATOR,REJECT_REASON_CODE,REJECT_REASON_DESCRIPTION,PROCESSING_BANK
Malaysia,NEW,Malaysia,,158562364,200.00,10/04/2022,200.00,APP,,,EWALLET
Malaysia,NEW,Malaysia,,158554640,150.00,10/04/2022,150.00,APP,,,EWALLET
Malaysia,NEW,Malaysia,,158520971,150.00,10/04/2022,150.00,APP,,,2C2P
Malaysia,NEW,Malaysia,,158513578,300.00,10/04/2022,300.00,APP,,,2C2P
Malaysia,NEW,Malaysia,,158483518,50.00,10/04/2022,50.00,APP,,,2C2P
Malaysia,NEW,Malaysia,,158481936,75.00,10/04/2022,75.00,APP,,,2C2P
Malaysia,NEW,Malaysia,,158440678,150.00,10/04/2022,150.00,APP,,,EWALLET
Malaysia,NEW,Malaysia,,158436179,200.00,10/04/2022,200.00,APP,,,2C2P
Malaysia,NEW,Malaysia,,158434789,150.00,10/04/2022,150.00,APP,,,2C2P
Malaysia,NEW,Malaysia,,158321241,200.00,09/04/2022,200.00,APP,,,2C2P
Malaysia,NEW,Malaysia,,158308407,50.00,09/04/2022,50.00,APP,,,2C2P
Malaysia,NEW,Malaysia,,158241607,150.00,09/04/2022,150.00,APP,,,EWALLET
Malaysia,NEW,Malaysia,,158234247,200.00,09/04/2022,200.00,APP,,,2C2P
Malaysia,NEW,Malaysia,,158199138,200.00,08/04/2022,200.00,APP,,,EWALLET
Malaysia,NEW,Malaysia,,158187312,100.00,08/04/2022,100.00,APP,,,EWALLET
Malaysia,NEW,Malaysia,,158186748,250.00,08/04/2022,250.00,APP,,,EWALLET
Malaysia,NEW,Malaysia,,158170602,100.00,08/04/2022,100.00,APP,,,EWALLET
Malaysia,NEW,Malaysia,,158167990,50.00,08/04/2022,50.00,APP,,,2C2P
Malaysia,NEW,Malaysia,,158158493,300.00,08/04/2022,300.00,APP,,,2C2P
Malaysia,NEW,Malaysia,,158154786,50.00,08/04/2022,50.00,APP,,,2C2P
